Original_Text,True_Label,Predicted_Label,Confidence (%),Text_Length
ضمّن الخطاب الرّوائي الجزائري المعاصر في روايتي الانفجار وخيرة و الجبال لمحمد مفلاح تيمة الثورة ،صورة الآخر والمرأة خلال فترة التحرير ناظرا لها ومنظورا لفكرة المشاركة مع الرجل في النضال تصويرا وكشفا ووعيا بتاريخ الجزائر وربطا للماضي بالحاضر فحملت مضامينه سمات البطولة والشجاعة استعدادا لمواجهة الآخر في صور للكره و العداء لمغتصب القومية و الأرض .كما كشف الخطاب الثوري صورة المرأة الجزائرية خلال هذه الفترة في ثورتها الذاتية ضد العادات و التقاليد التي فرضتها النواميس المجتمعية ، وفي وعيها بقضية التحرّر تصويرا للتحوّلات التي شهدتها هذه المرأة أثناء الثورة.,human,ai,97.94%,89
"يسعى هذا البحث إلى دراسة واقع السياحة البيئية في محافظة عدن, والتحقق من المعوقات التي تعترض طريق تطورها. وقد اعتمدت الدراسة المنهج الوصفي لوصف الواقع الحالي للسياحة البيئية في المحافظة. وتوصلت الدراسة إلى أن محافظة عدن تتمتع بمقومات طبيعية وبشرية تؤهلها لاستقبال السياحة البيئية, ولكنها تواجه تحديات عديدة تعيق تطور هذا القطاع. وفي ضوء النتائج التي توصلت إليها الدراسة, أوصت بضرورة توفير الموارد المالية اللازمة, ووضع خطط وسياسات وبرامج تنموية تستهدف تطوير السياحة البيئية, وتوجيه الاستثمارات الوطنية والأجنبية نحو هذا القطاع بالشكل الذي يتوافق مع الاهتمامات البيئية, ودعم البنية التحتية, وحماية وتطوير التراث الطبيعي والتاريخي للمحافظة.",ai,human,98.16%,96
يهدف هذا البحث إلى رصد واقع اللغة العربية في البيئة الرقمية وتحديد العوائق التي تقف في وجه رقمنتها، ومتطلبات مواكبتها للعصر الرقمي واقتراح الحلول المناسبة في ضوء المتغيرات الحالية. وتوصلت الدراسة إلى جملة من النتائج أهمها: تتعرض اللغة العربية لمعوقات متعددة تقف في طريق مواكبتها للعصر الرقمي، جعل مساهمتها ليس بالقدر المطلوب، بالرغم مما تملكه من القدرات والخصوصيات التي تؤهلها لذلك. وتشمل هذه المعوقات حاجة اللغة العربية إلى أدوات معلوماتية أساسية وتطوير مختلف القدرات سواء على مستوى المحتوى المقدم وتسويقه بالطريقة الصحيحة، أو انتاج المعلومات والتقنيات البرمجية، مع توحيد الجهود وسرعة الإنجاز. وتؤكد الدراسة أن اللغة العربية بحاجة إلى هذه الجهود لتجاوز الفجوة الرقمية والوصول إلى مستوى رقمنة يتناسب مع العصر الرقمي الحالي.,ai,human,98.23%,113
هدف هذا المقال إلى البحث في الإعلامِ والمسرحِ الجامعيينِ والوسائطِ المتعددة، من خلال الجمع بين موضوعين بأهميةٍ متساويةٍ لكل منهما منفصلين، وبأشد أهمية لكليهما مترابطين، هما المسرحُ الجامعي في التحامه بتكنولوجيا الوسائط الجديدة والوسائط المتعددة، والإعلامُ الجامعي الالكتروني. مع اقتراح الاتجاه نحو إعلامٍ إلكتروني جامعي مسرحي تَسَاوُقاً والتطورات التكنولوجية التي تتداخل مع كل ما يتصل بالحياة البشرية. وقد قمنا بمحاولة توصيف الممارسة المسرحية والإعلامية في الجامعة، معتمدين في جمع البيانات والمعلومات على أداتي المقابلة الإلكترونية والملاحظة لمختلف المواقع الإلكترونية والمواد المنشورة على شبكة الانترنت والمتصلة بشكل مباشر أو غير مباشر بمفردات ومتغيرات الموضوع.وخلُصَ المقال إلى أن المسرح والإعلام داخل الجامعة يتجهان اليوم نحو عالم التقانة، لكن هذا الاتجاه لم ترافقه الاستجابة المدروسة لاشتراطات التكنولوجيا لتحقيق إضافة تخدمهما بالشكل الأمثل في زاويتهما المشتركة المتمثلة في الإعلام الجامعي المسرحي، وبالأخص الرقمي منه.,human,ai,98.47%,130
"هذه المداخلة بعنوان: مخطوط ""عرف الريحان في التبرك بذكر الشيخ عثمان رضي الله عنه وذكر من اشتهر من أولاده عليهم من الرحمن أوفر الرضوان وذكر بناته المشهورات عليهن من الله نوامي الرحمات والبركات"" للعالم النحرير المؤرخ أمير المصالح ووالي النصائح وزير صكت الحاج جنيد بن محمد البخاري: عرض وتوصيف –عبارة عن مخطوط عربي لأحد أعلام الثقافة العربية والإسلامية في نيجيريـا في القرن العشرين. تناول المؤلف في مؤلفه موضوعا تاريخيا وثقافيا وخُلقيا في الوقت نفسه حيث أشاد بذكر علم من أعلام الحركة الثقافية والتجديد الإسلامي في غرب إفريقيا؛ المجاهد والمجدد الكبير الشيخ عثمان بن فودى وأولاده ذكورا وإناثا متطرقا لمميزاتهم من علم ودين وخلق. اتخذ المؤلف ذلك كله وسيلة للتبرك والتقرب إلى الله سبحانه وتعالى، فجاء المخطوط سجلا لمعالم التصوف السني والتاريخ والأسوة الحسنة. والمداخلة مقسمة إلى مقدمة وتعريف بمؤلف المخطوط ثم تعريف بالكتاب وتوصيفه، يلي ذلك الخاتمة الحاملة في طياتها نتائج المداخلة، ثم قائمة المصادر والمراجع..",human,ai,99.17%,146
هدفت هذه الدراسة إلى تسليط الضوء على تأثير طريقة التدريب الفتري المرتفع الشدة على بعض المتغيرات المناعية لدى لاعبي كرة القدم من فئة أقل من 17 سنة، وافترض الباحث وجود فروق ذات دلالة إحصائية بين القياس القبلي والقياس البعدي للمجموعة التجريبية في نسبة الكريات البيضاء في الدم لصالح القياس البعدي. تم استخدام المنهج التجريبي مع عينة من 23 لاعبًا لفريق أمل بوسعادة لكرة القدم من فئة أقل من 17 سنة، تم اختيارهم بالطريقة القصدية. بعد إجراء مجموعة من القياسات والاختبارات المخبرية، ومراعاة عرض النتائج وإخضاعها للمعالجة الإحصائية، تم استخلاص النتيجة التالية: أن طريقة التدريب الفتري المرتفع الشدة أدت إلى زيادة نسبة الكريات البيضاء في الدم للمجموعة التجريبية.,ai,human,96.89%,107
تعتبر دراسة الطفولة ومراحلها المختلفة من العوامل المهمة والضرورية لجميع من يتعامل مع الأطفال، وخاصة في مجال ثقافة الطفل، مثل المعلمين، والكتاب والشعراء، والمؤلفين والرسامين والخطاطين، وكل من كانت له صلة بخدمات المكتبات والمكتبات العامة والمدرسية للأطفال. إذ لابد لأي دارس أو مدرس لأدب الأطفال أن يكون على دراية بالمراحل التي يمر بها الطفل وفقا لنموه وتطوره العمري، للوقوف تفصيلا على كل التغيرات في النمو في ظل علم نفس الطفل العام، وعلم نفس النمو الخاص، فضلا عن علوم التربية ونظريات التعلم التي تعتبر الحاضنة التي تفقس فيها مضامين أدب الأطفال. وبسبب الاختلاف في الميول والحاجات والدوافع لدى الأطفال في مراحل نموهم المختلفة اقتضى الأمر تقنين الأدب المقدم لهم، بحيث يتلاءم في شكله ومحتواه مع تلك الظواهر في كل مرحلة، ويمكنهم من الفهم والتدبر، ومن ثم الانتقال من مرحلة دنيا إلى أخرى تالية دون صعوبات، وهو ما سنحاول دراسته في هذا المقال.,ai,human,98.48%,141
"في سياق العلاقة السياسية الثنائية بين الدولة السعدية بالمغرب الأقصى وبين الدولة العثمانية، قام السلطان السعدي أحمد المنصور الذهبي في سنة 997هـ/1589م ببعث سفارة دبلوماسية إلى السلطان العثماني مراد الثالث، كان على رأسها العالم علي بن محمد التمقروتي، بهدف توطيد الصلح والسلام بين الدولتين.وقد انتقلت تلك السفارة من فاس إلى عاصمة الخلافة العثمانية إسطنبول، سالكة الطريق البحري الذي ينطلق من تطوان ويمر عبر المدن الساحلية لأقطار شمال إفريقيا، وحتى طرابلس ومنها إلى القسطنطينية، ثم العودة عبر نفس الطريق وحتى فاس، وعقب نهاية المهمة ورجوع التمقروتي إلى قريته سنة 1591م، قام بتدوين تفاصيل تلك الرحلة، في كتاب أسماه ""النفحة المسكية في السفارة التركية"".فأنتج التمقروتي مصنفا ينتمي إلى أدب الرحلة، غني بكل ما شاهده من مناظر وعمارة وحوادث وأخبار في المحطات التي مر بها، مما جعله يصبح مصدرا مهما في شتى الأخبار السياسية والاقتصادية والثقافية والاجتماعية، عن تلك الحقبة من تاريخ بلدان المغرب وعاصمة الخلافة العثمانية..",human,ai,97.42%,144
"ظهرت عبارة ""مبدأ المسؤوليات المشتركة ولكن المتباينة"" في بداية سبعينات القرن الماضي، حيث أعلن مؤتمر البيئة البشرية الذي عُقد في ستوكهولم في عام 1972 أن حماية البيئة تعد ""مسؤولية مشتركة"" لكافة البشرية؛ وأشار المؤتمر إلى أن مشاكل البيئة في الدول النامية ""تعود لحد كبير إلى التنمية غير الكافية""، وذلك يعتبر الشكل الأولي لمفهوم ""المسؤوليات المشتركة ولكن المتباينة"". في عام 1992، أوضح البند الرابع من «الإتفاقية الإطارية للأمم المتحدة بشأن التغيرات المناخية» هذا المبدأ بشكل رسمي. ودعا هذا المبدأ الدول المتقدمة إلى ضرورة المبادرة أولا في تخفيض الانبعاثات وتقديم الدعم المالي والفني للدول النامية؛ بينما على الدول النامية أن تعمل على تحقيق التنمية الاقتصادية والاجتماعية والقضاء على الفقر وتعتبر ذلك الشغل الشاغل لها، وتتخذ إجراءات لتخفيف تغير المناخ أو التكيف معه في حالة حصولها على الدعم الفني والمالي.",human,ai,99.49%,127
تستعرض هذه الدراسة الميدانية تمظهرات الخطاب الإعلامي باعتباره منظومة داللية تتحد في تشكيله مجموعة من العلامات اللفظية وغير اللفظية، إذ يسعى من خلالها القائم بالاتصال إلى تمرير رسائل مختلفة التي تهم المتلقي وتخص مختلف جوانب بيئته السياسية والاجتماعية والثقافية. وتستمد هذه الورقة البحثية أهميتها من خلال الكشف عن العلاقة التكاملية بين وظائف الخطابات الإعلامية والمتلقي لها، وذلك من خلال تحليل عينة من خطابات النشرات الإخبارية للتلفزيون العمومي الجزائري على ضوء المدرسة اللغوية النقدية. وتبين لنا القراءة النقدية لمجمل خطابات عينة الدراسة أن القائم بالاتصال قد تبنى تداول الأفكار الهادفة من خلال ترسيخ عدة مبادئ جوهرية أبرزها سيادة الدولة الجزائرية، الوحدة الوطنية، السلم والأمان، إلى جانب مراعاة سياق المتلقي وتطلعاته.,ai,human,97.23%,109
